ID	ZONA	Fecha	No. Campo	Hora	Sex	Morfo	TC	TA	TS	Percha	Masa	LHC	Cola	LT	Regeneración	Ancho_cabeza	Alto_cabeza	N	W	Elevación	Peso Heces	N1	W2
92	C	13/5/2024	1	09:33	M	G-AM	33.5	26.7	20.7	ARBOL	10.67	74.01	101.67	175.68	0	13.46	8.52	19°19'48"	98°11'12	2268	0.029	19°19'46"	98°11'17"
98	C	13/5/2024	7	11:00	H	AM	38.1	27.2	25.3	BARDA ROCA	4.43	53.18	43.08	96.26	24.58	11.23	5.51	19°19'46"	98°11'11"	2277	0.011	19°19'46"	98°11'17"
99	C	13/5/2024	8	11:09	M	G-AM	NA	NA	NA	BARDA ROCA	4.51	56.22	53.23	109.45	36.35	11.41	6.55	19°19'21"	98°14'48"	2279	0.014	19°19'19"	98°14'49"
106	U	15/5/2024	3	10:50	H	AM	31.1	27.5	27.5	BARDA TIERRA	9.3	65.21	68.99	134.2	7.64	13.16	6.66	19°19'19"	98°14'41"	2233	0.014	19°19'20"	98°14'38"
108	U	15/5/2024	5	11:50	M	G-AM	35.1	34.9	32	LADRILLOS	9.52	70.17	57.41	127.58	44.15	13.57	7.45	19°23'51"	98°15'47"	2233	0.019	19°22'59"	98°16'20"
110	C	1/6/2024	1	13:00	H	AM	34	22.1	26.7	ROCAS	5.13	59.77	72.93	132.7	0	10.56	6.55	19°23'23"	98°15'18"	2388	0.072	19°22'59"	98°16'20"
112	C	1/6/2024	3	15:05	M	G-AN	33.6	27	29.9	ARBOL	8.24	61.74	81.44	143.18	0	13.32	7.12	19°21'35"	99°07'14"	2388	0.076	19°21'35"	99°07'14"
114	U	9/6/2024	1	10:57	H	G	30.9	26.7	25.6	ARBOL	4.58	54.3	30.48	84.78	14.85	11.62	6.38	19°21'14"	99°10'17"	2236	0.013	19°21'15"	98°10'24"
116	U	12/6/2024	2	10:29	M	AN	30.3	28	28	TRONCO	12.43	73.69	34.35	108.04	12.43	14.95	9.12	19°21'14"	99°10'17"	2266	0.038	19°21'15"	98°10'24"
116	U	12/6/2024	2	10:29	M	AN	30.3	28	28	TRONCO	12.43	73.69	34.35	108.04	12.43	14.95	9.12	19°21'14"	99°10'17"	2266	0.03	19°21'15"	98°10'24"
117	U	12/6/2024	3	10:43	M	AN	30.4	26.3	26.7	TRONCO	8.86	73.63	99.6	173.23	0	13.95	8.44	19°21'19"	99°10'18"	2266	0.035	19°21'15"	98°10'24"
118	U	12/6/2024	4	11:20	M	G-AM	NA	NA	NA	TOCON	9.9	69.33	87.04	156.37	0	12.7	7.69	19°21'19"	99°10'18"	2266	0.017	19°21'15"	98°10'24"
118	U	12/6/2024	4	11:20	M	G-AM	NA	NA	NA	TOCON	9.9	69.33	87.04	156.37	0	12.7	7.69	19°21'09"	99°10'18"	2266	0.028	19°21'15"	98°10'24"
120	U	12/6/2024	6	12:10	M	G-AM	NA	NA	NA	TOCON	6.98	67.63	95.07	162.7	0	12.45	7.53	19°21'12"	99°10'19"	2266	0.026	19°21'15"	98°10'24"
121	U	12/6/2024	7	12:40	H	G-AM	34.9	26.3	29.2	TOCON	6.53	62.1	71.17	133.27	0	11.82	6.74	19°21'14"	99°10'22"	2266	0.02	19°21'15"	98°10'24"
122	U	12/6/2024	8	13:23	H	AM	32.8	27.8	27	TOCON	3.4	57.69	68.24	125.93	0	10.48	6.09	19°21'10"	99°10'31"	2266	0.022	19°21'15"	98°10'24"
125	U	12/6/2024	11	15:32	H	G-AM	NA	NA	NA	TRONCO	5.7	63.55	56.27	119.82	22.35	11.95	6.74	19°21'44"	99°06'55"	2266	0.015	19°21'44"	99°06'55"
127	U	12/6/2024	13	14:54	H	G-AM	34.7	30.9	33.7	ARBOL	5.79	60.83	62.33	123.16	0	10.24	6.9	19°19'14"	99°11'37"	2237	0.025	19°19'14"	98°11'50"
128	U	14/6/2024	1	10:54	H	G-AM	NA	NA	NA	YUCA	5.72	66.8	42.57	109.37	15.9	11.12	7.11	19°19'14"	99°11'37"	2320	0.025	19°19'14"	98°11'50"
128	U	14/6/2024	1	10:54	H	G-AM	NA	NA	NA	YUCA	5.72	66.8	42.57	109.37	15.9	11.12	7.11	19°19'23"	99°11'34"	2320	0.035	19°19'14"	98°11'50"
130	U	14/6/2024	3	16:03	H	G-AM	31.3	22.8	23	ARBOL	5.51	64.02	78.3	142.32	0	11.76	6.62	19°19'23"	99°11'34"	2320	0.019	19°19'14"	98°11'50"
132	U	14/6/2024	5	16:20	H	G-AM	NA	NA	NA	BARDA	6.33	65.84	74.65	140.49	0	11.02	6.38	19°19'14"	99°11'37"	2320	0.031	19°19'14"	98°11'50"
133	U	14/6/2024	6	16:30	H	AM	NA	NA	NA	BARDA	6	62.45	78.33	140.78	0	12.1	6.54	19°20'35"	99°05'41"	2320	0.022	19°20'25"	98°05'44"
139	U	16/6/2024	4	11:25	M	G-AM	29.6	27.5	26.1	TRONCO	8.91	71.76	73.5	145.26	33.34	14.1	8.4	19°20'35"	99°05'41"	2337	0.113	19°20'25"	98°05'44"
143	U	16/6/2024	8	13:15	H	AN	NA	NA	NA	PALOS	6.04	60.15	71.19	131.34	0	10.88	6.3	19°20'35"	99°05'41"	2337	0.016	19°20'25"	98°05'44"
144	U	16/6/2024	9	13:20	H	G	NA	NA	NA	PALOS	4.54	51.48	28.94	80.42	14.54	10.07	6.06	19°20'35"	99°05'41"	2337	0.022	19°20'25"	98°05'44"
146	U	16/6/2024	11	13:35	M	AN	NA	NA	NA	PALOS	10.81	72.28	97.48	169.76	0	13.81	8.38	19°16'19"	98°12'25"	2337	0.036	19°16'07"	98°11'53"
167	R	17/10/2024	3	12:00	HG	AMG	31.3	25.5	28.9	BARDA	11.5	70.7	84.09	154.79	0	11.41	7.53	19°16'19"	98°12'25"	2301	0.113	19°16'07"	98°11'53"
