q0	q1	q2	SAMPLEID	MUESTRA	ID	ZONA	Fecha	No..Campo	Sex	Morfo	LHC	Cola	LT	Regeneración	Ancho_cabeza	Alto_cabeza	Elevación	Peso.heces	lat	lon	lat2	lon2	sex	dist_km	dist_category	dist_cat	dist_cat2	estado	estado2
46	11.0278064853795	8.15286543064635	98	42	144	U	2024-06-16	9	H	G	51.48	28.94	80.42	14.54	10.07	6.06	2337	0.022	19.3431	-99.0949	19.34052	-99.09577	H	0.3013916679453	High	Short	Medium	Distrito Federal	Puebla and Mexico City
239	58.4846607449397	26.0939253902303	113	11	11	C	2024-01-11	11	HG	AM-G	59.63	41.58	101.21	1	11.7	6.6	2548	0.07	19.3661	-98.2786	19.35283	-98.287094	H	1.7256773337577	Medium	Long	Long	Tlaxcala	Tlaxcala
401	137.27564652662	69.7627877864026	39	46	58	C	2024-03-05	9	M	AM	74.75	100.5	175.25	0	14.74	9.4	2350	0.043	19.0278	-98.1133	19.03309	-98.123086	M	1.18631216068034	Medium	Medium	Long	Puebla	Puebla and Mexico City
182	83.0684661770652	49.8676304170631	99	44	48	U	2024-02-14	5	H	AM	63.08	40.13	103.21	22.34	11.01	8.15	2129	0.012	19.0842	-98.2375	19.08431	-98.237667	H	0.0214149361914839	High	Short	Short	Puebla	Puebla and Mexico City
259	115.702373828557	58.6864465972678	114	12	13	C	2024-01-11	13	H	AM-G	59.98	46.15	106.13	27.62	11.71	6.28	2548	0.027	19.3656	-98.2786	19.35283	-98.287094	H	1.67827902410185	Medium	Long	Long	Tlaxcala	Tlaxcala
366	116.712058355167	53.2318946902615	55	16	30	R	2024-01-16	9	H	AM-G	59.43	74.38	133.81	0	11.83	7.9	2300	0.018	19.2938	-98.2077	19.29439	-98.20827	H	0.088883499559584	High	Short	Short	Tlaxcala	Tlaxcala
187	82.8547715888027	47.4342538774839	100	45	98	C	2024-05-13	7	H	AM	53.18	43.08	96.26	24.58	11.23	5.51	2277	0.011	19.33	-98.1867	19.33139	-98.185658	H	0.189534052407199	High	Short	Medium	Tlaxcala	Tlaxcala
353	119.272264210622	54.3792848911618	115	17	32	R	2024-01-16	11	H	G	64.54	58.9	123.44	31.4	11.46	6.62	2300	0.022	19.294	-98.2076	19.29439	-98.20827	H	0.0827060097479315	High	Short	Short	Tlaxcala	Tlaxcala
222	102.481642521829	62.6678192486288	56	18	35	R	2024-01-16	14	M	AM	49.84	76.41	126.25	0	11.48	6.45	2304	0.019	19.3018	-98.2441	19.3022	-98.244275	M	0.0481743202878591	High	Short	Short	Tlaxcala	Tlaxcala
243	45.4168951627783	18.0452890054803	101	47	55	C	2024-03-05	6	HG	G-AN	64.02	52.13	116.15	36.75	11.79	6.86	2287	0.029	19.0306	-98.1133	19.03309	-98.123086	H	1.06647583450997	Medium	Medium	Long	Puebla	Puebla and Mexico City
125	14.3655172390912	6.55098484684914	116	20	39	R	2024-01-28	2	M	AM	68.89	66.14	135.03	19.64	13.22	7.93	2473	0.026	19.4294	-98.2076	19.42366	-98.210617	M	0.713166054313031	High	Medium	Long	Tlaxcala	Tlaxcala
329	198.589065655222	132.338853375594	42	59	110	C	2024-06-01	1	H	AM	59.77	72.93	132.7	0	10.56	6.55	2388	0.072	19.3975	-98.2631	19.38359	-98.272194	H	1.81922417262946	Medium	Long	Long	Tlaxcala	Tlaxcala
209	63.2083324611321	29.4172250924046	57	19	36	R	2024-01-16	15	HG	G	72.45	86.76	159.21	0	14.1	8.2	2304	0.012	19.3019	-98.2442	19.3022	-98.244275	H	0.034312849552686	High	Short	Short	Tlaxcala	Tlaxcala
479	111.179850811918	44.4131923228935	87	27	117	U	2024-06-12	3	M	AN	73.63	99.6	173.23	0	13.95	8.44	2266	0.035	19.3539	-99.1714	19.35281	-99.169	M	0.279753846586134	High	Short	Medium	Distrito Federal	Puebla and Mexico City
227	72.4328139194914	27.929380125955	102	48	99	C	2024-05-13	8	M	G-AM	56.22	53.23	109.45	36.35	11.41	6.55	2279	0.014	19.3294	-98.1864	19.33139	-98.185658	M	0.234837645902809	High	Short	Medium	Tlaxcala	Tlaxcala
212	60.1394974061957	25.6137273570054	58	22	45	U	2024-02-14	2	M	AM-G	64.02	55.99	120.01	31.82	12.95	7.28	2129	0.02	19.0843	-98.2374	19.08431	-98.237667	M	0.0281107720380677	High	Short	Short	Puebla	Puebla and Mexico City
314	95.2953446938034	46.5333452999163	88	28	118	U	2024-06-12	4	M	G-AM	69.33	87.04	156.37	0	12.7	7.69	2266	0.017	19.3554	-99.1717	19.3567	-99.17097	M	0.163770626440351	High	Short	Medium	Distrito Federal	Puebla and Mexico City
411	96.2250922284832	33.4274159489416	103	51	108	U	2024-05-15	5	M	G-AM	70.17	57.41	127.58	44.15	13.57	7.45	2233	0.019	19.3228	-98.2468	19.32151	-98.246692	M	0.144049615294102	High	Short	Medium	Tlaxcala	Tlaxcala
190	51.5493525061682	17.6247203915132	118	24	114	U	2024-06-09	1	H	G	54.3	30.48	84.78	14.85	11.62	6.38	2236	0.013	19.3597	-99.1206	19.3597	-99.1206	H	0	High	Short	Short	Distrito Federal	Puebla and Mexico City
354	119.251971140685	58.5225624766931	59	25	116	U	2024-06-12	2	M	AN	73.69	34.35	108.04	12.43	14.95	9.12	2266	0.038	19.3538	-99.1714	19.35281	-99.169	M	0.275108545111405	High	Short	Medium	Distrito Federal	Puebla and Mexico City
216	75.2317070115767	36.8245149138836	89	29	118	U	2024-06-12	4	M	G-AM	69.33	87.04	156.37	0	12.7	7.69	2266	0.028	19.3553	-99.1716	19.3567	-99.17097	M	0.169311801147576	High	Short	Medium	Distrito Federal	Puebla and Mexico City
266	75.823769262841	33.5088676604249	104	52	106	U	2024-05-15	3	H	AM	65.21	68.99	134.2	7.64	13.16	6.66	2233	0.014	19.3225	-98.2467	19.32151	-98.246692	H	0.110209500114721	High	Short	Medium	Tlaxcala	Tlaxcala
174	53.4228135134935	20.6139961283332	119	31	121	U	2024-06-12	7	H	G-AM	62.1	71.17	133.27	0	11.82	6.74	2266	0.02	19.3533	-99.172	19.3567	-99.17097	H	0.393642647093786	High	Short	Long	Distrito Federal	Puebla and Mexico City
318	85.272204772342	36.2556643943441	60	26	116	U	2024-06-12	2	M	AN	73.69	34.35	108.04	12.43	14.95	9.12	2266	0.03	19.3537	-99.1714	19.35281	-99.169	M	0.270841372554944	High	Short	Medium	Distrito Federal	Puebla and Mexico City
291	90.8939571857577	49.0570060135554	90	30	120	U	2024-06-12	6	M	G-AM	67.63	95.07	162.7	0	12.45	7.53	2266	0.026	19.3525	-99.1717	19.3567	-99.17097	M	0.473786645689368	High	Short	Long	Distrito Federal	Puebla and Mexico City
