SampleID	Group	Distance_to_Centroid	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5	PCoA6	PCoA7	PCoA8	PCoA9	PCoA10	PCoA11	PCoA12	PCoA13	PCoA14	PCoA15	PCoA16	PCoA17	PCoA18	PCoA19	PCoA20	PCoA21	PCoA22	PCoA23	PCoA24	PCoA25	PCoA26	PCoA27	PCoA28	PCoA29	PCoA30	PCoA31
31	Medium	0	0.0068512314719566	-0.000964775015545923	0.012631388480137	-0.00145424477913859	-0.0084575031791057	-0.00124316452967652	-0.0018752919277458	-0.00501722823198124	0.00125620530081981	-0.000849310236384179	-0.0059988193943389	0.00381899217810011	-0.00382994502206384	-0.0041518019584443	0.0105205111565605	0.00203396409430484	0.000573536398802294	-0.000894364278075022	0.000158649179631282	0.00779348145403376	0.00846129822717549	0.00395278647027363	-0.0080988031796667	-0.00224184205835353	0.00725976225481989	0.00366501940447792	-0.00351413572352088	0.00650081243383839	0.00997865040395619	0.00205196635242093	0.00807329947757016
46	Long	0.0301797765874134	0.0267658296496137	-0.00380793605231908	0.00152364561060254	-0.000251090183199396	-0.0192041453315583	0.00187731094932342	0.0207080569946863	-0.000433560218676456	-0.0154296742059415	0.00642186730314238	-0.00335626234994001	-0.000828316137885596	-0.00262080650158391	-0.00383298625952449	-0.00015458878458128	0.000477069508292975	-1.60533227318887e-05	0.00071193677497879	-0.00122645308874416	0.000933558667116362	-0.00333511861370737	-0.00651491589563784	0.0155847146757502	0.00700820457138674	0.0112384032083987	0.00791305006500107	0.00292486180207027	0.0185968003004782	0.0150035127013446	0.00303508102274834	0.00583749897622814
91	Long	0.0125973073101023	-0.0318574481645909	-0.00182749592365363	0.00597934267144772	-0.00535909113131018	0.00380595477952165	0.0127345686175434	-0.00999125689193254	0.00250560458334818	-0.0110542243998401	-0.00136373281233949	-0.00128189316904144	0.00483043120847704	0.00348916967025805	-0.00289254377836282	-0.00368051989612914	0.00406100940025423	-0.00181979493774461	0.000423009984448387	0.00414678601900586	0.002013806931371	-0.000935955456601707	0.00173530842069973	-0.00392606900579072	0.00349726223720192	0.0113611568733564	-0.0159494704711929	0.00161260150825723	0.0119482274060146	-0.00644231362068479	-0.00368257134651005	-0.0031785529483242
106	Medium	0.0462410335936937	-0.0388282876485249	0.00801233480883206	-0.0185911082950971	-0.0118017148020939	0.0203847192211365	0.0145806704613365	-0.00375648155173906	-0.0186129774263001	0.00306339084984647	-0.00180171473850824	-0.000199451977050319	-0.00605471625695957	0.00325445087573062	-0.000810486951184435	0.00341348194506845	-0.000293796561102599	-0.000139473557001119	0.000398417786351998	-0.000630950001014434	-0.000394404255942838	0.00541108162215954	9.8085273601447e-05	0.0124492055003373	-0.00708510685368122	-0.0106348590334601	-0.00810918734209056	0.0216216160917962	0.0103037716955163	0.00567734385027686	0.00539885292390628	0.00242613892726333
47	Long	0.0204496576925197	0.0166752864636117	-0.000424736603890632	0.00866957305077029	0.0102073705661381	0.00384769185873012	-0.00111022592344665	0.00473935463609827	0.0136554368551962	-0.00174819719111747	-0.00993031873888495	0.0153743349831478	0.00916325300013715	-0.00424902253433641	-0.00124532032813116	-0.000537372368336443	-0.000176478289207435	7.9328357629491e-05	0.000223046499278631	0.000766561982723037	0.000382724826357503	0.00574507647794466	-0.0119322864491165	-0.000170324464157706	-0.0139391763924411	-0.00424469141032813	0.00322198533028563	0.0162505471292035	-0.00178885114382484	-0.00274802430928044	0.00335532080823485	0.0189435024256547
107	Short	0.132125601867058	0.139589927286297	-0.0417900524027002	-0.0293775744753471	0.000411666663162181	0.000180613799842583	0.0048281038106037	-0.00206825866731239	0.0016910548694642	0.00640713647114385	0.0020212700149735	-0.000133362288973921	-0.000224916184001732	-0.00140032609255815	0.000136995698157373	-0.000346286115052017	-0.000282132046186994	1.48801646332673e-05	0.000139871403116487	2.44475153875968e-05	0.00012841520722372	0.000294700113109052	-0.000190918737520922	-0.00443165191266134	-0.00173128158004995	0.00540912386399454	0.00194578660004057	0.00336391972563716	0.00767776683309949	-0.0115855667473817	0.0395444444328989	-0.0915014160616087
48	Long	0.0495814776876267	0.0372180509464679	-0.00975739610772285	0.0261056931001078	-0.0286218529254588	-0.011670411609635	0.00731330739333159	0.00784138442427556	0.00168571349245611	0.00912091748424416	-0.00255862396190109	0.00823820104862749	-0.0042957943858113	0.00522040257275546	0.00252188572458357	-0.000845441837205724	1.93768431559694e-05	0.000132100941050376	-0.000377727240381961	0.000669540522303538	-0.00100180584019552	-0.00488249583023565	0.00288162409974539	-0.0063100701491773	0.000824781001290817	0.00120275509128119	-0.00455613742086462	0.00735210233482728	-0.0101187024873014	0.0403494300286829	0.0211322893939958	0.0068772635601494
93	Short	0.065777966353699	0.0435740447684572	0.0136386150136742	0.0105390299228121	0.0336595963413508	-0.00162008960240379	-0.0113579566818588	0.0159674739068113	-0.00465400754480513	0.0141279417539173	0.000264952854382377	0.00082104180579533	-0.00301345987378515	0.00121357854034521	0.00112204652375044	0.000382149162048287	0.000364088944833783	0.000119987316504209	-0.00012580723259143	2.84900820374011e-05	0.00154573715401868	-0.00180694364566892	0.00210220907601003	-0.00180635132053562	0.0114215807015554	0.00269896677981272	-0.0224322278046422	0.0155981538207976	0.00560388191399364	-0.0156729342708753	-0.0162117043174089	0.0109341038201508
34	Medium	0	0.00886714028647323	0.00176417642379687	0.00172227039604575	0.0017910679630857	-0.0055766522904303	0.0017090264481733	0.00452451132410399	-0.00529178206926807	0.00795879997551186	0.00237622422914225	-0.00794227529658074	0.00882502565505933	-0.00035847004466739	0.000228728242467866	-0.00630993858505133	-0.00319972273757532	-0.000108501719336657	-0.000472396691994987	0.000791966432280663	-0.00886616499388734	0.0123911728844794	0.00649164909001547	0.000611768908891058	0.000689999114136957	0.0063414154322736	0.004354403927026	-0.0016211536447184	0.00832026405638009	0.00906957211730088	-0.00298619246188255	0.0224511420857696
49	Long	0.0686466990996688	-0.115935253099072	-0.00960218561588469	-0.00758773817655991	0.0225876670136107	0.0272884563290998	-0.0086986004610059	0.0025212798749246	0.00680820144723379	-0.00160508243265198	0.000877504918762966	0.00220409902057401	-0.001559893487249	0.00085506550222314	0.000443807550664587	-0.000691754660750403	-0.000364787640415411	0.000171291401400818	-0.000325851135966916	0.000195210918420708	0.000529476334878725	0.00140016930230153	-0.00131400966497181	-0.00193924736318045	0.00579652619323177	0.00229451817675412	0.00196343932790194	-0.00502572306323546	0.00329003131816468	0.0370275589055268	-0.01662966372832	-0.0751345955628916
