taxonomy	31	46	91	106	47	92	107	33	48	93	34	49	94	109	35	50	95	36	96	111	37	97	112	98	113	39	99	114	40	55	100	115	41	56	101	116	42	57	87	102	58	88	103	118	59	89	104	119	60	90	120
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390548720952939	0	0	0	0	0	0	0	0.288484932744778	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0585823081429408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355429180735738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00433134813210612	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0757320767418378	0	0	0	0	0	0	0.88198919481872	0	0	0	0.0586854460093897	0	0	0	0.406659483507699	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252839173215904	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia	0	0	0	0.924086163938562	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115058248238171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.438013136289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0239704683829522	0	0	0	0.0420733759676876	0	0	0	0	0	0	0.110655470936666	0	0	0	0.383411580594679	0	0	0	0.0417086649751486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0846188895398034	0	0	0	0.0449921752738654	0	0	0.0239463601532567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Allobranchiibius	0	0	0	0.0252310215409846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Janibacter_A_390549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0716005988413721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Kineococcaceae;g__Kineococcus	0	0	0	0	0	0	0	0.0182681768359518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0380631304205976	0	0	0	0	0	0	0	0	0	0.208675424192666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Frigoribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.460232992952682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0376299945265463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Leifsonia_A_381664	0	0	0	0	0	0	0	0	0	0	0	0	0.0203370133643231	0.0240456017765456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium_A_383321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307881773399015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011461974898275	0	0	0	0	0	0	0.00550340424862808	0	0	0.100595416111579	0	0	0.126928334309705	0	0	0	0.0880281690140845	0	0.00972668028401906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter_E_385749	0	0	0	0	0	0	0	0	0	0.0137040272710143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0782472613458529	0	0	0	0.191164714469431	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Glutamicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0544285007422068	0	0	0	0	0	0	0	0	0	0	0	0.0371674491392801	0	0	0	0	0	0	0	0	0	0	0.0118976799524093	0	0	0	0	0.00649702219815918	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Kocuria	0	0	0	3.6616520011354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0231403567822282	0	0	0	0	0	0	0.302675258738528	0	0	0	0.0371674491392801	0	0	0.123152709359606	0.253727711932154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	0.0121248863291907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0383527494127235	0	0	0	0	0	0	0	0	0	0	0.309184404087743	0	0	0	0.357981220657277	0	0	0	0.663862917521115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19768274425568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales	0	0	0	0	0	0	0	0	0	0.00856501704438392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Geodermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136932707355243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Geodermatophilaceae;g__Blastococcus	0	0	0	0	0	0	0.0088427102907041	0	0	0.0342600681775357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00793178663493952	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Micromonosporaceae;g__Plantactinospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00665623855958998	0	0	0	0	0	0	0	0	0	0	0	0	0.330193597719926	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249292871182703	0	0	0	0	0	0	0	0	0	0	1.93647074139166	0	0	0	0.663145539906103	0	0	0	0.552639810920719	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Dietzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234741784037559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia_B_376796	0	0	0	0	0	0	0	0.0639386189258312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0618368808175487	0	0	0	0.20735524256651	0	0	0.00684181718664477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Lawsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.761570005858231	0	0	0	0.0997652582159625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	0	0.0114848471797522	0.0203164856994515	0.0315387769262308	0	0	0.0176854205814082	0	0.0173212661845581	0.0411120818130428	0	0	0.0493898895990703	0.0141444716332621	0	0	0.04004004004004	0.0191763747063618	0.0290728406808331	0	0	0	0.00786200606946869	0.0332811927979499	0.0263870808851986	0	0.0488307742390538	0.0466128029832194	1.02519039250146	0	0.0534889375151957	0.0325810082341094	0.359937402190923	0	0.0259378140907175	0	0.0834173299502972	0.0292155621561085	0.0179810300133359	0.0364099763335154	0	0.0197879392510265	0.0126419586607952	0.0277612532222883	0	0.088339222614841	0.0354710556186152	0.132691988721181	0	0.00946929843020075	0.153452685421995
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_376336	0	0	0	0.173463273094269	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0814995925020375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00586854460093897	0	0	4.56349206349206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nakamurellaceae;g__Nakamurella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100891752912843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia	0	0	0	0	0	0	0	0.0365363536719035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00841467519353753	0	0	0	0	0	0	0	0	0	0	0.0625978090766823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
