SampleID	Group	Distance_to_Centroid	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5	PCoA6	PCoA7	PCoA8	PCoA9	PCoA10	PCoA11	PCoA12	PCoA13	PCoA14	PCoA15	PCoA16	PCoA17	PCoA18	PCoA19	PCoA20	PCoA21	PCoA22	PCoA23	PCoA24	PCoA25	PCoA26	PCoA27	PCoA28	PCoA29	PCoA30	PCoA31
31	Medium	0.568668547754325	0.0990197667611808	0.0189813874148164	-0.0782828147754321	-0.112108787338285	-0.049179842318937	-0.140966286251963	0.0228436360199944	-0.105984642069748	0.023183542664652	0.0682347202693024	0.166149661393362	-0.0367768387592834	-0.102679229281908	-0.0930587766786746	-0.0138532968564835	0.109301086590511	0.0621755198161252	0.192337488564105	0.193017912110894	0.312797241588954	-0.0545444474845971	0.0987265601657833	0.0326999903527308	0.103321115861782	-0.0104425275747317	0.0295513454315953	0.0332882528757903	0.0788202053069985	-0.0307990470888358	-0.0103705187678996	0.00569256011439367
46	Long	0.562342167757121	0.173283362237737	0.077559889679739	-0.140250614111532	0.0163870778108728	-0.0415161434423309	-0.092547645525998	-0.0387069887294836	-0.0920002670073563	0.12412380288877	-0.0667592104204777	0.019067946501113	0.0387692678976727	-0.042734476347826	-0.0830689696926978	0.0932159256596912	0.00937422891905816	0.0585086491331225	-0.0011685422750522	0.127206516698656	-0.194693369553397	0.0966964948518543	-0.0585533452598294	-0.173087803196974	0.0023557439874539	-0.0738740292491872	-0.00705695708784732	-0.217068431011831	0.177160969141242	0.151989230716953	0.0244127135897982	0.025874118447716
91	Long	0.581997843503549	0.0246742760685691	-0.0823732380576422	0.0669947785801368	-0.219268760734711	-0.0367124553137182	-0.207808499555689	-0.152297113593225	0.067170665015092	-0.125485785118543	-0.10428965508183	0.116863533154789	-0.0341683688560367	0.0667838787356218	-0.0555012844547874	0.168384586931122	0.00872142850908304	0.19585222825949	-0.0430946562327306	-0.0632711977073246	-0.147282251232455	-0.193576912908609	0.0166670518241341	0.190042852073183	-0.0859529750080539	-0.0115007043503518	-0.0465651466845327	0.0104476884693081	0.0313332878431984	-0.0243526003062933	-0.0317610211851794	-0.0150852237834435
106	Medium	0.639880573385231	-0.165662605121446	0.253923684965404	0.177134391139828	0.185737243059449	0.0804846911116333	-0.121593718798614	0.0427937072368588	-0.103218430903011	-0.151677048962596	0.0374369512666538	-0.124141586540878	-0.078227867692799	-0.144049252754746	-0.134863143191093	-0.0088623320985166	0.191897838263889	0.0288038263033289	0.0775769242212014	0.0484811226935399	-0.099270009446052	0.0989924447127901	-0.0869757299683754	0.0867147436443204	-0.110218576325731	0.130899526874234	0.0469338411639425	0.0978309185366591	-0.0343145753486423	0.0654871098426352	-0.00268058353710561	0.0336176686662563
47	Long	0.567972679578477	0.124994723767517	0.0985559706359965	-0.0647611440290654	0.160288118128315	0.0501516088899957	0.00259350958129502	0.107398841979294	0.167844098592026	0.0921298907982045	-0.179822753524995	0.0334898284664123	0.0236674368203117	-0.0924817553867188	0.0720501838991746	0.211891310256811	0.0486369588131883	-0.110705443059495	-0.00918213091094078	0.00427424740451057	-0.0601745352319187	-0.108042453449427	0.0812847767096784	-0.07557527366285	0.165843880524904	0.0897197936168169	-0.0835790709355374	0.168432669030681	-0.0279195252414143	0.0422343333668823	-0.162783392134559	0.0116369436245332
107	Short	0.515155092004289	0.187437796921216	0.0844686271948327	-0.140229220715406	-0.0491495766818448	-0.0160105704207379	-0.00684417452189311	0.0221564701840899	0.0594587971476849	0.0106479343699145	0.0615379205296232	0.0788208520759238	-0.0341906284488327	0.0530150564699226	-0.048169641799898	0.0206478321916032	0.0435916045934254	-0.0562446375516722	-0.0163032328409908	-0.00565355802223179	0.0235174163762405	-0.00997023251686429	-0.130008445983914	-0.0449486630798004	-0.0401077463981031	0.02827002606183	-0.137829929656499	0.0866612130135418	-0.133164562623291	0.0760754693856314	0.237811570129174	-0.263276130235015
48	Long	0.548763704228728	0.0832110579897757	0.270989400485772	-0.154517524689901	-0.0651948449082778	0.003754424084379	-0.0760735449669048	-0.00779658453630613	0.113626090073338	0.0555047746730223	-0.0289900261097043	0.0702525356143902	0.0650428218025485	0.0905831277122301	0.00988561263181588	-0.0193241143739985	-0.164225538914128	-0.0656239255964188	0.148840439165328	-0.0288504297713143	0.0464973542331523	0.0714375368635814	0.0329549180835435	-0.043866227977211	-0.284655488247255	0.0222326989759521	0.114930912071468	-0.038960495479583	-0.113611006004716	-0.0507243750861875	-0.155273322280121	-0.00403309612378976
93	Short	0.550122283872225	0.158275993852288	-0.119671749365947	0.016849186336621	0.134759955697095	-0.048524182034407	-0.0376481179070528	-0.0468719564752965	0.0465846509108482	-0.0556569536215743	-0.189873478030687	0.016145141464066	-0.0137293950675474	0.0493564517692781	-0.198497874790686	0.0156423706954775	0.0335428335113035	-0.0430775340651488	0.0150749402029926	-0.12706574171329	0.0471672512288127	0.0488468901057297	0.125429622701962	-0.00271576897999858	0.0910949172431398	0.00199700103022994	0.0984805063481504	-0.117829069586955	-0.216620322358638	0.00414509696754038	0.162632838620645	0.161085803689926
34	Medium	0.585254792145917	0.0454853462204227	-0.0353270406885777	-0.0194303917405628	-0.0858786323201821	-0.0511217642128812	-0.229620827929879	-0.0481574772291625	-0.0633029500665245	0.0220182917000346	0.215781578116853	-0.360918346808207	0.0623786694588049	-0.0910395757823989	0.11300593464164	0.132300589489745	-0.0725718034076403	-0.0594115208267818	-0.11559193830142	-0.0248268997493207	0.0712166460113593	-0.104218032958247	0.136294263616349	-0.0679611104775905	-0.0310099468511134	0.0610470253308415	0.0609315030043606	-0.0158682156662552	-0.0233975510207202	0.0219563862280489	0.062835371681749	0.00180221603563857
49	Long	0.574191083086535	-0.0535606292550977	0.0436111270199392	0.0907961620937005	-0.196641008652855	-0.0201022292902531	-0.186696334499553	0.038231519182629	-0.157271572772807	0.0401465775508695	-0.170337559696076	0.0256893463439084	-0.00444183735219232	-0.0901027671407025	0.189225092535501	-0.246757510206894	-0.175816673160966	-0.0107206047620745	0.0821788851474933	-0.082182167612303	-0.0399286905049141	-0.0093740658495857	-0.105092094261604	-0.0156818264990101	0.103283913624443	-0.0141499517416358	-0.0811623804719513	0.0780003357821941	-0.0666410674587973	0.108912121109898	0.0349763097679505	0.0955038864605404
94	Short	0.570059333588825	0.0106222142275479	-0.218528129945758	0.17545429697555	-0.0322776068385118	-0.0678075203946607	0.0340519382529032	0.0597437305989566	-0.101369720968385	-0.184098653287256	-0.0948059542155148	0.0308899903815763	-0.00308249044217055	-0.06715235290239	0.147278462058844	-0.0123073739962984	0.0544590102330641	-0.0626681880226983	0.0585398240511709	0.155946280193006	-0.0833448891201421	-0.00060084512125069	0.00761526963125149	-0.121877988244625	-0.0102246622744596	0.124439638512038	-0.029229952840369	-0.177844796199781	-0.0997254592083796	-0.181664870285482	-0.0554128734528302	-0.131399821732962
36	Long	0.713562873246494	-0.433528119102344	0.0763523719496806	-0.01173511237217	0.00798780361778573	-0.505272471962216	0.10287093783134	-0.17022221197993	0.0231249838915683	0.189270773947538	-0.0261657542943922	0.026464233611865	0.00646231046211353	-0.043481970803002	0.00112359548276733	0.00603120412387066	0.0901232818713921	-0.0636466667909064	-0.0306811007481637	-0.0125646699911819	-0.00394300820785482	-0.00566954586762507	-0.0146992002215589	0.0257523464450371	-0.00236598799608233	0.00304556591315616	0.00966047214602929	0.00875061183206597	-0.0172611105864893	-0.0163344209011034	0.000503992055265271	-0.0104963525754953
96	Medium	0.574584560625309	0.0140467775215086	-0.0362634565344308	0.133152570739143	0.105028851403949	0.0641553958027942	0.0484661296846938	-0.220032127931755	-0.128111633197111	-0.0529994809710239	-0.153574462972271	0.00249626495278773	0.0469638725614183	-0.0329439078627767	-0.0349224162592793	0.162845325309103	-0.215431173418647	-0.0184773027628968	-0.142597120406001	0.000695000112524579	0.231124728978743	0.172199260413725	-0.142119771832477	0.0666747354899345	0.0200841556684588	0.0426885235841542	-0.0211967203227771	0.0161979664845908	0.0586798701655283	0.00945617827491819	-0.0554222359245182	-0.069612727818316
113	Long	0.552666792528108	0.00888380085953292	0.263057788188973	0.0553050187579863	0.139444364372718	0.0899895085982172	-0.123907087202763	0.0246252607464124	0.0866593212462368	0.0360962067345762	-0.108440934798586	0.0144134866883973	0.0811336209618286	0.0969918391727745	0.19692788338459	-0.0780140349353642	0.0428879652586815	-0.0725786121448908	-0.113803677312874	0.106313398057647	-0.0294058271198623	0.0131338786932779	0.0409974388930214	0.14913225790067	0.0591116570957902	-0.112037232662953	0.111556161636699	-0.0208682390970492	0.112018362972853	-0.16974798478741	0.149634585713556	-0.0376446996989026
